possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;Anos;;3;Atividades de Consultorias;VERDADEIRO;Sim;Q0025939;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI;;Entidade Profissional Reguladora;;Cumprimento de obrigação regulatória de conformidade. Norma ISO 9001;Backup ou Cópia de Segurança;;Não;Histórico de compras, Nome, OAB n°;Monitoramento de Atividade Online;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI - Auditoria Interna;;;Dados de empregados, Dados dos advogados(as), Dados de prestadores de serviços - pessoa física;;EUA (google);;;;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Em cumprimento aos requisitos da Norma ISO 9001 realizamos periodicamente as auditorias internas nas Áreas da Secional, TED e Subseções, para estes processo seguimos as seguintes etapas/ sub processos: Realizar planejamento do ciclo anual de auditoria interna relacionando escopo. ciclo de auditoria de 3 anos. requisitos e períodos. Definir calendário de Auditoria Interna com data. horário e  Auditor. Comunicado de auditoria interna (online) e envio dos convites e link de acesso ao evento. Realização da Auditorias Internas da Qualidade e Envio do relatório de auditoria (Relatório) para os envolvidos. Quanto aos dados colhidos no processo, são registrados nos Relatórios.;;;Parcialmente;E-mail, Nuvem, Pastas de Rede Compartilhada, Pastas e Documentos no E-mail, Planilhas;OAB/SP - Secretaria Geral Adjunta;Brasil;DGI - 4;Google Calendar (Agenda), Google Gmail (E-mail), Google Meet, Intranet, Documentos físicos / papel, Servidor de Arquivos;Não;Não;Cópia Eletrônica de Documentos, Documentos Físicos;Sim;;de  0 a 1.000;;
Não;indeterminado;;Para Sempre;Análise e Pesquisa;VERDADEIRO;Não;Q0025941;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;"A Câmara de Mediação, Conciliação e Arbitragem (CAMCA) foi instituída pela Comissão das Sociedades de Advocacia (COMSA), a quem compete resolver, por arbitragem, eventuais problemas de exercício profissional surgidos entre sociedades de advocacia e entre os próprios integrantes destas, bem como, mediar e conciliar questões surgidas na dissolução de sociedades (art. 121, alíneas ""b"" e ""c"" do Regimento Interno da Ordem dos Advogados do Brasil, Seção de São Paulo)";Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, RG, Telefone fixo;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Mediação, Conciliação e Arbitragem;;Portal do titular e email.;Dados dos advogados(as);;Gmail - EUA;;;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;;;Mediação, Conciliação, Mediação  O procedimento sempre terá coleta de dados sensível dos advogados nas petições, porem essas informações não são passadas para terceiros, tendo em vista que somente as partes envolvidas tem acesso aos autos considerando que o processo e sigiloso. Os acessos e tramitações são realizado por e-mail somente para as partes envolvidas, a guarda dessas informações são realizadas na nuvem e resumos são citados em planilhas que o acesso é restrito aos funcionários que executam as respetivas tarefas com acesso por senha.;;;Não;Nuvem;OAB/SP - Presidência;Brasil;Mediação, Conciliação e Arbitragem;;Não;Não;;Sim;;de 1.000 a 10.000;;
;Dias;e-mails;Não há;Comunicação Interna;VERDADEIRO;Sim;Q0025943;;OAB/SP - PRESIDÊNCIA - PRESIDÊNCIA DO TED;;Nacional;;Tratamento realizado para cumprimento de funções relacionadas as responsabilidades da OAB perante terceiros.;Não há;;Não;Outros tipos de dados pessoais;Outras fontes de Dados, E-mail;;OAB/SP - PRESIDÊNCIA - PRESIDÊNCIA DO TED - Envio de e-mails;;Portal do Titular e email.;Outras categorias;;;não fica registrado os dados pessoais;;Sim;Art. 7°, V – execução de contrato ou de procedimentos preliminares;não são registrados os dados pessoais;;Pedidos de informações solicitadas por e-mail são respondidas por e-mail e/ou direcionados ao Departamento competente;;;Sim;E-mail;OAB/SP - Presidência;Brasil;E-mails;Google Gmail (E-mail);Não;Não;E-Mail;Não;;de  0 a 1.000;;
Não;;;Indeterminado;Análise e Pesquisa;VERDADEIRO;Não;Q0025944;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;PROVIMENTO Nº 91/2000 - Dispõe sobre o exercício da atividade de consultores e sociedades de consultores em direito estrangeiro no Brasil. (Artigos 6o e 7o).;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, RG, Telefone fixo;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Renovação de Consultores em Direito Estrangeiro;;Porta do Titular / Email.;Dados dos advogados(as);;Google - EUA;;;Sim;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Renovação de Consultores em Direito Estrangeiro, pode ser protocolada na Secional presencialmente ou por e-mail especifico do departamento, tendo a opção pela Subseção pelo documento físico.  Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por email ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator, e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB.;;;Parcialmente;Pastas e Documentos na Nuvem, E-mail;OAB/SP - Presidência;Brasil;Renovação de Consultores em Direito Estrangeiro;Intranet, Google Gmail (E-mail);Não;Não;;Sim;;de  0 a 1.000;;
Não;;;Indeterminado;Atividades Administrativas;VERDADEIRO;Sim;Q0025945;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS;Controladoria Diretoria (Todos os gabinetes);Entidade Profissional Reguladora;Atividades Administrativas;Cumprimento de obrigação legal e regulatória - art. 54, XII da Lei Federal n. 8.906/94 c/c  Provimento do CFOAB Nº 216/2023 - as Seccionais devem prestar contas ao CFOAB. Execução de contrato - CLT e/ou prestação de serviços - Os contadores que assina a prestação de contas o faz em razão de obrigação contratual em razão de relação de emprego ou de prestação de serviços autônomo. ;Não há;;Não;OAB n°, Outros tipos de dados pessoais;Via física, Site;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS - Prestação de Contas ao Conselho Federal;Conselho Federal da Ordem dos Advogados do Brasil;;Dados de prestadores de serviços - pessoa física, Dados de empregados;Provimento Nº 216/2023;Dados disponíveis em ferramentas Google;CRC nº;;Não;Art. 7°, II – Cumprimento de Obrigação Legal;;;Processo contendo Demonstrações Contábeis e Financeiras da OAB/SP, contendo extratos bancários das localidades (Secional e Subseções), certidões comprovando regularidade, registros dos contadores envolvidos (Auditores Independentes e Contador Responsável da OAB/SP). Todas essas informações são compostas por pastas/volumes e enviadas ao Conselho Federal da OAB para apreciação das contas.;;;Não;Pastas e Documentos no E-mail;OAB/SP - Tesouraria;Brasil;Prestação de Contas ao Conselho Federal;Correios, SGD (SISTEMA DO CFOAB);Não;Sim;Documentos Físicos, Cópia Eletrônica de Documentos;Sim;;de  0 a 1.000;;
Não;;;Indeterminado;Análise e Pesquisa;VERDADEIRO;Não;Q0025946;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;A alteração do contrato social deve ser feita pela OAB ara para viabilizar o efetivo registro nos órgãos competentes. Cumprimento da obrigação é determinada na INSTRUÇÃO NORMATIVA Nº 7/21 da OAB/SP e no Provimento Nº 112/2006,  do CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL.;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, Telefone fixo, RG, Outros tipos de dados pessoais;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Rescisão de Associação sem Vínculo Empregatício;;;Dados dos advogados(as);;;Dados financeiros do(a) advogado(a)a e da Sociedade.;;Não;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Rescisão de Associação pode ser protocolada na Secional presencialmente ou por email específico do departamento, tendo a opção pela Subseção pelo documento físico. Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por e-mail ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator (que é um terceiro, que presta trabalho voluntariamente, é um advogado nomeado pelo presidente da Comissão e aprovado pela presidente da OAB SP que o nomeia como membro relator da Comissão), e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB. Após a finalização a documentação fica disponível para ser retirado pelo próprio interessado ou quem solicita a retirada da documentação registrada.;;;Sim;Pastas e Documentos na Nuvem;OAB/SP - Presidência;Brasil;Rescisão de Associação sem vinculo Empregatício;;Não;Não;;Não;;de 1.000 a 10.000;;
;;cadastro em sistema;Indeterminado;Atividades Administrativas;VERDADEIRO;Sim;Q0025948;;CAASP - TESOURARIA - FINANCEIRO;;Instituições Bancárias;;Os dados são necessários para emissão dos boletos, possibilitando a execução do contrato (pagamento) pelos titulares.;Controle de Acesso;;Não;OAB n°, Nome, E-mail, CPF, Outros tipos de dados pessoais;Outras fontes de Dados;;CAASP - TESOURARIA - FINANCEIRO - Emissão de boleto;;Portal de titular e email.;Dados dos advogados(as), Dados dos estagiários(as);;;endereço;;Sim;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;;Acesso pelo sistema com o n.º OAB, nome, e-mail. Após emissão acesso ao CPF e endereço.;;;Sim;Sistemas/ Aplicativos de Terceiros;CAASP - Tesouraria;Brasil;Emissão de boleto - Q0025948 - VOL0045;Intranet Financeiro;;Não;Transferência de Arquivos;Não;;de 100.000 a 1.000.000;;
Não;;;Indeterminado;Análise e Pesquisa, Outras Finalidades;VERDADEIRO;Sim;Q0025949;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;Os requerimentos feitos de forma física vêm pelo malote e então, a área que recepciona teve acesso, e ao chegar, o Departamento de Protocolo Geral faz a triagem e cadastro na Intranet;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Funcionários Internos que precisam da Informação;A alteração do contrato social deve ser feita pela OAB ara para viabilizar o efetivo registro nos órgãos competentes. Cumprimento da obrigação é determinada na INSTRUÇÃO NORMATIVA Nº 7/21 da OAB/SP e no Provimento Nº 112/2006,  do CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL.;Bloqueio de Acesso, Controle de Acesso;;Não;Celular, CPF, E-mail, Nome, OAB n°, RG, Telefone fixo, Outros tipos de dados pessoais;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Transformação de Individual para Pluripessoal;Relator;;Dados dos advogados(as);;Uma vez que há o uso de email e armazenamento em nuvem - EUA;Financeiro;;Não;Art. 7°, II – Cumprimento de Obrigação Legal;;Uma vez que o relator é um terceiro neste caso;A transformação de Individual para Pluripessoal, pode ser protocolada na Secional presencialmente ou por e-mail especifico do departamento, tendo a opção pela Subseção pelo documento físico.  Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por email ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator, e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB.;;Consultas internas para viabilizar alteração contratual solicitada.;Sim;Pastas e Documentos na Nuvem;OAB/SP - Presidência;Brasil;TRANSFORMAÇÃO DE INDIVIDUAL PARA PLURIPESSOAL;Intranet, Google Gmail (E-mail);Sim;Sim;Outros métodos de transferência;Sim;;de 1.000 a 10.000;;
Não;;;Indeterminado;Atividades Administrativas;VERDADEIRO;Não;Q0025950;;OAB/SP - SECRETARIA GERAL ADJUNTA - GABINETE DA SECRETARIA GERAL ADJUNTA;Recursos Humanos, CAASP e departamentos atrelados a área.;;Atividades Administrativas;Cuida-se de atividade inerente ao contrato de trabalho dos funcionários do departamento, qual seja, realizar a recepção e direcionamento dos e-mails encaminhados ao gabinete da secretaria geral adjunta;Firewall;;Não;Nome, OAB n°, CPF;E-mail;;OAB/SP - SECRETARIA GERAL ADJUNTA - GABINETE DA SECRETARIA GERAL ADJUNTA - Recebimentos de e-mails diversos (Notas de Falecimento, Comunicados CAASP, Departamentos Diversos, Comunicado de Abertura e Fechamento de Salas, Comunicados de Treinamentos, Comuni;;;Dados dos advogados(as), Dados de empregados;;;;;Não;Art. 7°, V – execução de contrato ou de procedimentos preliminares;Trta;;Notas de Falecimento: quando recebido é encaminhado ao Setor de Comunicação para divulgação.  Comunicados CAASP: recebemos para ciência e prosseguimos o arquivamento no e-mail.  Departamento Diversos: analisamos as solicitações e mediante a pertinência, redirecionamos ao responsáveis pelo assunto - quando concluído respondemos e arquivamos solicitação no e-mail.  Comunicados de Abertura e Fechamento de Salas: geralmente estes casos são encaminhados através do SINAD - responsável pela gestão das salas - toma-se ciência e arquivamos no e-mail.  Comunicados de Treinamento: recebemos o comunicado do Recursos Humanos e direcionamos aos colaboradores para participação.;;;Parcialmente;E-mail;OAB/SP - Secretaria Geral Adjunta;Brasil;Recebimento de e-mail diversos;Google Gmail (E-mail);Sim;Sim;;Não;;de  0 a 1.000;;
;;Cadastro em sistema;Indeterminado;Atividades Administrativas;VERDADEIRO;Sim;Q0025951;;CAASP - TESOURARIA - FINANCEIRO;Odontologia, Farmácia, Livraria.;"Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros"")";Atividades Administrativas;Art. 1º da Lei 8.846/1994, que dispõe sobre a emissão de documentos fiscais e o arbitramento da receita mínima para efeitos tributários.;Controle de Acesso, Outras Medidas de Segurança;;Não;OAB n°, Nome, CPF, Histórico de compras, Outros tipos de dados pessoais, E-mail;E-mail;;CAASP - TESOURARIA - FINANCEIRO - Emissão de notas fiscais;;Portal do titular e email;Dados dos advogados(as), Dados dos estagiários(as);;;endereço, valor pago.;Certificado digital.;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;;;Recebo e-mail da Odontologia com os dados do advogado solicitando a nota fiscal. Acesso ao n.º OAB, nome, CPF, e-mail, endereço, valor pago.  Recebo e-mail da farmácia e da livraria com os dados do advogado solicitando a nota fiscal. Acesso ao n.º OAB, nome, CPF,  e-mail, itens comprados, valor pago. (SAT);;;Sim;Sistemas/ Aplicativos de Terceiros, Pastas e Documentos no E-mail;CAASP - Tesouraria;Brasil;Emissão de notas fiscais - Q0025951 - VOL0045;Google Gmail (E-mail), Portal de Prefeitura, Intranet;;Sim;Formulário WEB;Não;;de  0 a 1.000;;
